,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country,Survey,Characteristic,Family planning use decisionmaking mainly by wife,Family planning non-use decisionmaking mainly by wife,LivWell own house,Do not own a house [Women],,Do not own land [Women],Decision maker about Own health care: Mainly wife [Women],Decision maker about Major household purchases: Mainly wife [Women],Decision maker about Visits to her family or relatives: Mainly wife [Women],Final say in own health care [Women],Final say in making large purchases [Women],"Final say in visits to family, relatives, friends [Women]",Women who decide themselves how their earnings are used,Wife earns more than husband
Malawi,2010 DHS,Region : ..Mchinji,7.5,,,,,,,,,32.4,16.9,51.2,44,10.8
Malawi,2010 DHS,Region : ..Nkhotakota,12.4,,,,,,,,,64.1,37.4,64,23.2,5.5
Malawi,2010 DHS,Region : ..Ntcheu,12.7,,,,,,,,,47.8,41.5,66.6,35.1,13.3
Malawi,2010 DHS,Region : ..Ntchisi,7.6,,,,,,,,,50.8,27.8,61.5,25.4,7.6
Malawi,2010 DHS,Region : ..Salima,13.2,,,,,,,,,56.2,29.3,61.6,28.8,9.6
Malawi,2010 DHS,Region : ..Balaka,16.9,,,,,,,,,56.1,36.2,75.4,41.8,7.9
Malawi,2010 DHS,Region : ..Blantyre,17.4,,,,,,,,,65.3,44,75.7,54.1,13.5
Malawi,2010 DHS,Region : ..Chikwawa,4.3,,,,,,,,,78.4,22.6,60.6,23.1,4.5
Malawi,2010 DHS,Region : ..Chiradzulu,20.2,,,,,,,,,40.5,34.4,71,32,16.7
Malawi,2010 DHS,Region : ..Machinga,26.4,,,,,,,,,40.5,23.4,59.9,44.4,10.3
Malawi,2010 DHS,Region : ..Mangochi,18.1,,,,,,,,,41,25,51.4,46.4,5.3
Malawi,2010 DHS,Region : ..Mulanje,8.2,,,,,,,,,63.2,29.5,75.1,38,9.7
Malawi,2010 DHS,Region : ..Mwanza,7.3,,,,,,,,,40.7,15,56.4,30.2,7.4
Malawi,2010 DHS,Region : ..Neno,15,,,,,,,,,49.4,26.4,74.8,35.1,7.3
Malawi,2010 DHS,Region : ..Nsanje,9.1,,,,,,,,,44.7,21.6,49.9,31.1,4
Malawi,2010 DHS,Region : ..Phalombe,15,,,,,,,,,67,23.1,67.6,18.6,6.5
Malawi,2010 DHS,Region : ..Thyolo,11.9,,,,,,,,,74,35.6,82.6,36.9,12.4
Malawi,2010 DHS,Region : ..Zomba,11.3,,,,,,,,,68.3,26.3,72.5,33,14.3
Malawi,2010 DHS,Decision : Own health care,,,,,,,16.6,,,,,,,
Malawi,2010 DHS,Decision : Major household purchases,,,,,,,,9.3,,,,,,
Malawi,2010 DHS,Decision : Visits to her family or relatives,,,,,,,,,25.2,,,,,
Malawi,2004 DHS,Total,10.2,,,,,,,,,27.7,17.9,60.1,37.5,
Malawi,2004 DHS,Region : Northern,10.7,,,,,,,,,35.3,24.6,58,50.4,
Malawi,2004 DHS,Region : Central,8.1,,,,,,,,,25.7,16.1,57.8,29.3,
Malawi,2004 DHS,Region : Southern,12.1,,,,,,,,,27.2,17.5,62.6,40.4,
Malawi,2004 DHS,Decision : Own health care,,,,,,,17.8,,,,,,,
Malawi,2004 DHS,Decision : Major household purchases,,,,,,,,6.4,,,,,,
Malawi,2004 DHS,Decision : Visits to her family or relatives,,,,,,,,,18.8,,,,,
Malawi,2000 DHS,Total,12,,,,,,,,,27.6,17,62.1,38.1,
Malawi,2000 DHS,Region : Northern,17.2,,,,,,,,,33.9,13,67.5,37,
Malawi,2000 DHS,Region : Central,8.9,,,,,,,,,22.7,16,63.5,31.9,
Malawi,2000 DHS,Region : Southern,13.6,,,,,,,,,30.4,18.8,59.7,45.6,
Malawi,2000 DHS,Decision : Own health care,,,,,,,20.5,,,,,,,
Malawi,2000 DHS,Decision : Major household purchases,,,,,,,,6.1,,,,,,
Malawi,2000 DHS,Decision : Visits to her family or relatives,,,,,,,,,17.7,,,,,
Maldives,2016-17 DHS,Total,4.1,4.4,,82.5,,,,,,88.5,86.8,94.2,33,14.9
Maldives,2016-17 DHS,Region : Central,3.9,4.7,,78.9,,,,,,82.2,78,92.4,38.7,11.6
Maldives,2016-17 DHS,Region : Malé,3.7,5.3,,80.7,,,,,,86.3,82,90.2,37.5,19.1
Maldives,2016-17 DHS,Region : North,4.4,1.2,,88.7,,,,,,95.6,93.5,98.3,21.7,7.7
Maldives,2016-17 DHS,Region : North Central,4.8,6.5,,83.5,,,,,,85.9,89.1,96.8,26.4,11.5
Maldives,2016-17 DHS,Region : South Central,2.9,3,,79.2,,,,,,92.7,92.1,97.6,27,14
Maldives,2016-17 DHS,Region : South,6.1,4.7,,86.2,,,,,,90.1,91.8,97.5,34.9,11.1
Maldives,2016-17 DHS,Decision : Own health care,,,,,,,23.4,,,,,,,
Maldives,2016-17 DHS,Decision : Major household purchases,,,,,,,,28.4,,,,,,
Maldives,2016-17 DHS,Decision : Visits to her family or relatives,,,,,,,,,31.7,,,,,
Maldives,2009 DHS,Total,6.5,,,,,,,,,76,57.8,94,28.5,14.1
Maldives,2009 DHS,Region : Central,4.9,,,,,,,,,82.9,60.8,91.7,20.9,16.1
Maldives,2009 DHS,Region : Malé,6.3,,,,,,,,,78.4,64.7,94.4,22.8,10.6
Maldives,2009 DHS,Region : North,6.3,,,,,,,,,73,52.6,91.5,34.6,9.5
Maldives,2009 DHS,Region : North Central,10,,,,,,,,,74.7,49.8,94.7,29.1,10.3
Maldives,2009 DHS,Region : South Central,5.1,,,,,,,,,71.8,46.9,94.3,28.2,30.3
Maldives,2009 DHS,Region : South,5.2,,,,,,,,,74.8,62.4,95.8,38.5,15.2
Maldives,2009 DHS,Decision : Own health care,,,,,,,20.4,,,,,,,
Maldives,2009 DHS,Decision : Major household purchases,,,,,,,,10.9,,,,,,
Maldives,2009 DHS,Decision : Visits to her family or relatives,,,,,,,,,41.1,,,,,
Mozambique,2015 AIS,Total,,,,25.4,,46.3,,,,78.5,75.5,80.3,39.1,10.4
Mozambique,2015 AIS,Region : Niassa,,,,34,,72.4,,,,82.4,72,82.6,33.4,3.1
Mozambique,2015 AIS,Region : Cabo Delgado,,,,15.9,,26,,,,67.4,67.4,64.8,38.3,21.7
Mozambique,2015 AIS,Region : Nampula,,,,23.9,,57.3,,,,78,73.1,88.7,38.1,11.3
Mozambique,2015 AIS,Region : Zambézia,,,,13.3,,37.5,,,,74.5,74.1,83.9,24.3,10.8
Mozambique,2015 AIS,Region : Tete,,,,31.2,,20.4,,,,92.3,85.2,93.5,14.6,11.2
Mozambique,2015 AIS,Region : Manica,,,,15.6,,26.5,,,,71.8,72.1,61,43.7,8.4
Mozambique,2015 AIS,Region : Sofala,,,,24.1,,32.3,,,,70.1,66.6,70.2,40.6,6.9
Mozambique,2015 AIS,Region : Inhambane,,,,29.5,,51.4,,,,88,84.5,86.7,33,7.9
Mozambique,2015 AIS,Region : Gaza,,,,26.6,,81.3,,,,81.1,78.6,74.2,57.2,6.5
Mozambique,2015 AIS,Region : Maputo Provincia,,,,35.8,,60.7,,,,91.3,92.2,90.5,42.3,9.5
Mozambique,2015 AIS,Region : Maputo Cidade,,,,65.2,,54.2,,,,85.8,85.1,83.2,58.8,10.8
Mozambique,2015 AIS,Decision : Own health care,,,,,,,16.3,,,,,,,
Mozambique,2015 AIS,Decision : Major household purchases,,,,,,,,17.4,,,,,,
Mozambique,2015 AIS,Decision : Visits to her family or relatives,,,,,,,,,16.3,,,,,
Mozambique,2011 DHS,Total,32.7,,,35.4,,47.4,,,,67.3,58.8,74.7,45.7,12.1
Mozambique,2011 DHS,Region : Niassa,25.7,,,47.3,,50.5,,,,71.4,67.6,84.7,56.7,27.2
Mozambique,2011 DHS,Region : Cabo Delgado,26.4,,,28.1,,22.9,,,,79.5,51.1,57.3,34.7,11.3
Mozambique,2011 DHS,Region : Nampula,28.4,,,17.3,,36.6,,,,46.9,44.6,66.1,40.4,17.5
Mozambique,2011 DHS,Region : Zambézia,48.2,,,21.8,,45.3,,,,63.6,48.8,71.7,28.7,8.6
Mozambique,2011 DHS,Region : Tete,43.7,,,32.7,,33.7,,,,54.3,52.3,89.7,52.7,18.2
Mozambique,2011 DHS,Region : Manica,25.5,,,30,,38.1,,,,81.2,59.7,70.6,38,8.9
Mozambique,2011 DHS,Region : Sofala,26,,,52.7,,51.7,,,,64.4,58.5,67,38.5,19.2
Mozambique,2011 DHS,Region : Inhambane,29.4,,,38.8,,54.8,,,,93.1,85.4,90,45.7,6.3
Mozambique,2011 DHS,Region : Gaza,17.8,,,43.2,,65.8,,,,75.9,71.7,71.6,48,10.2
Mozambique,2011 DHS,Region : Maputo Provincia,31.7,,,48.2,,67.9,,,,75.1,82.8,84.3,60.6,11.6
Mozambique,2011 DHS,Region : Maputo Cidade,36.6,,,70.3,,81.5,,,,89.9,88,92,59.6,11.7
Mozambique,2011 DHS,Decision : Own health care,,,,,,,21.6,,,,,,,
Mozambique,2011 DHS,Decision : Major household purchases,,,,,,,,13.3,,,,,,
Mozambique,2011 DHS,Decision : Visits to her family or relatives,,,,,,,,,16.4,,,,,
Mozambique,2003 DHS,Total,22.3,,,,,,,,,61.6,36.9,63.4,44.4,
Mozambique,2003 DHS,Region : Niassa,12.4,,,,,,,,,62.7,50,75.5,34.9,
Mozambique,2003 DHS,Region : Cabo Delgado,35.8,,,,,,,,,68,37.1,80.6,36.9,
Mozambique,2003 DHS,Region : Nampula,25.2,,,,,,,,,67.4,29.7,69.3,32.8,
Mozambique,2003 DHS,Region : Zambézia,13.4,,,,,,,,,72.3,50,72.9,23.7,
Mozambique,2003 DHS,Region : Tete,25.6,,,,,,,,,74.1,29.1,63.1,31.3,
Mozambique,2003 DHS,Region : Manica,16.1,,,,,,,,,43.7,32.4,46.2,43.3,
Mozambique,2003 DHS,Region : Sofala,28,,,,,,,,,46.1,30.7,43.9,52.9,
Mozambique,2003 DHS,Region : Inhambane,14.7,,,,,,,,,32.5,33,51.9,67,
Mozambique,2003 DHS,Region : Gaza,19,,,,,,,,,57.4,19.1,43.2,64.8,
Mozambique,2003 DHS,Region : Maputo Provincia,22.8,,,,,,,,,66.3,50.6,58.1,57.4,
Mozambique,2003 DHS,Region : Maputo Cidade,24.9,,,,,,,,,59.5,47.9,61,54,
Mozambique,2003 DHS,Decision : Own health care,,,,,,,40.8,,,,,,,
Mozambique,2003 DHS,Decision : Major household purchases,,,,,,,,4.7,,,,,,
Mozambique,2003 DHS,Decision : Visits to her family or relatives,,,,,,,,,19.2,,,,,
Namibia,2013 DHS,Total,33.5,,,69.1,,78.7,,,,87.7,82.2,87.4,39.5,12
Namibia,2013 DHS,Region : Central,36,,,68.9,,83.6,,,,88.5,83.6,87.6,38.1,12.4
Namibia,2013 DHS,Region : Northwest,24.1,,,77.7,,79.3,,,,90.9,76.4,90.2,44.8,9.8
Namibia,2013 DHS,Region : ..Omusati,26.3,,,80,,80.2,,,,87.9,72.5,89,47.3,21.5
Namibia,2013 DHS,Region : ..Ohangwena,21,,,76.7,,80.2,,,,94,71.3,95.4,42.7,5.7
Namibia,2013 DHS,Region : ..Oshana,25.9,,,78.5,,79.8,,,,85.1,71.2,87.9,32.8,10.5
Namibia,2013 DHS,Region : ..Oshikoto,23.3,,,75.2,,76.5,,,,95.4,88.7,88.4,54.6,6.7
Namibia,2013 DHS,Region : Kunene,47.4,,,62.7,,80.5,,,,87,85.7,88.8,34.6,9.7
Namibia,2013 DHS,Region : Northeast,35,,,49.6,,60.4,,,,82.2,82.7,82.3,47.8,13.2
Namibia,2013 DHS,Region : ..Zambezi,28.1,,,45.5,,54.1,,,,88,93.4,80.2,44.3,12.9
Namibia,2013 DHS,Region : ..Kavango,38.7,,,51.9,,63.8,,,,79.4,77.6,83.3,50.1,13.5
Namibia,2013 DHS,Region : ..Omaheke,41.6,,,68.5,,81,,,,88.6,84.6,88.6,41.4,16.3
Namibia,2013 DHS,Region : ..Otjozondjupa,40.1,,,73.2,,80.9,,,,69.6,65.4,69.3,35.2,6.3
Namibia,2013 DHS,Region : ..Erongo,36.2,,,67.5,,82.6,,,,91.1,89.5,91.8,39,10
Namibia,2013 DHS,Region : ..Khomas,33.9,,,68.5,,85,,,,93.4,86.7,91.5,38.1,14.4
Namibia,2013 DHS,Region : ..Hardap,36.2,,,67,,85.5,,,,89.8,88.9,89.6,25.8,14.2
Namibia,2013 DHS,Region : ..Karas,35.3,,,70.9,,80.2,,,,87.1,88.7,90.7,30.4,13.6
Namibia,2013 DHS,Region : South,35.7,,,69.1,,82.7,,,,88.5,88.8,90.2,28.4,13.9
Namibia,2013 DHS,Decision : Own health care,,,,,,,46.3,,,,,,,
Namibia,2013 DHS,Decision : Major household purchases,,,,,,,,26.1,,,,,,
Namibia,2013 DHS,Decision : Visits to her family or relatives,,,,,,,,,32,,,,,
Namibia,2006-07 DHS,Total,25.7,,,,,,,,,84,75.1,78.3,39.4,15.6
Namibia,2006-07 DHS,Region : Central,27.6,,,,,,,,,87.9,81,85.3,39.8,14.9
Namibia,2006-07 DHS,Region : Northwest,23.8,,,,,,,,,86.4,72.4,83.8,46.2,16.3
Namibia,2006-07 DHS,Region : ..Omusati,22.3,,,,,,,,,88,71.3,87.6,28.8,14.2
Namibia,2006-07 DHS,Region : ..Ohangwena,25.3,,,,,,,,,81.8,69.4,80.2,54.3,15.6
Namibia,2006-07 DHS,Region : ..Oshana,22,,,,,,,,,90.1,75.3,85.5,57.8,18.4
Namibia,2006-07 DHS,Region : ..Oshikoto,25.5,,,,,,,,,86.3,73.7,82.6,40.3,16.1
Namibia,2006-07 DHS,Region : Kunene,36,,,,,,,,,68,59.6,63.2,35.7,16.1
Namibia,2006-07 DHS,Region : Northeast,19.4,,,,,,,,,73.7,63.7,56.3,38.7,18
Namibia,2006-07 DHS,Region : ..Zambezi,14.2,,,,,,,,,73.7,84.6,69,30.9,12.5
Namibia,2006-07 DHS,Region : ..Kavango,21.8,,,,,,,,,73.7,54.8,51,42.7,20.8
Namibia,2006-07 DHS,Region : ..Omaheke,22.5,,,,,,,,,72.6,69.1,68.7,43.4,21.8
Namibia,2006-07 DHS,Region : ..Otjozondjupa,28.2,,,,,,,,,73.2,66,69.3,45.6,16.2
Namibia,2006-07 DHS,Region : ..Erongo,28.5,,,,,,,,,92.6,86.7,90.4,39.8,10.4
Namibia,2006-07 DHS,Region : ..Khomas,27.8,,,,,,,,,94.5,86.6,92.3,38.1,16
Namibia,2006-07 DHS,Region : ..Hardap,24.5,,,,,,,,,88.2,88,84.9,28.1,19.5
Namibia,2006-07 DHS,Region : ..Karas,25.7,,,,,,,,,89.2,86,85.3,20.9,13.3
Namibia,2006-07 DHS,Region : South,25.1,,,,,,,,,88.7,87,85.1,23.9,15.9
Namibia,2006-07 DHS,Decision : Own health care,,,,,,,44.8,,,,,,,
Namibia,2006-07 DHS,Decision : Major household purchases,,,,,,,,22.8,,,,,,
Namibia,2006-07 DHS,Decision : Visits to her family or relatives,,,,,,,,,24.7,,,,,
Namibia,2000 DHS,Total,,,,,,,,,,,,,57.4,
Namibia,2000 DHS,Region : Central,,,,,,,,,,,,,51.6,
Namibia,2000 DHS,Region : Northwest,,,,,,,,,,,,,77.3,
Namibia,2000 DHS,Region : ..Omusati,,,,,,,,,,,,,79.9,
Namibia,2000 DHS,Region : ..Ohangwena,,,,,,,,,,,,,88,
Namibia,2000 DHS,Region : ..Oshana,,,,,,,,,,,,,76.4,
Namibia,2000 DHS,Region : ..Oshikoto,,,,,,,,,,,,,69.5,
Namibia,2000 DHS,Region : Kunene,,,,,,,,,,,,,64.3,
Namibia,2000 DHS,Region : Northeast,,,,,,,,,,,,,66.8,
Namibia,2000 DHS,Region : ..Zambezi,,,,,,,,,,,,,34.3,
Namibia,2000 DHS,Region : ..Kavango,,,,,,,,,,,,,76.5,
Namibia,2000 DHS,Region : ..Omaheke,,,,,,,,,,,,,60.3,
Namibia,2000 DHS,Region : ..Otjozondjupa,,,,,,,,,,,,,46.8,
Namibia,2000 DHS,Region : ..Erongo,,,,,,,,,,,,,35.3,
Namibia,2000 DHS,Region : ..Khomas,,,,,,,,,,,,,58.7,
Namibia,2000 DHS,Region : ..Hardap,,,,,,,,,,,,,47.4,
Namibia,2000 DHS,Region : ..Karas,,,,,,,,,,,,,51.9,
Namibia,2000 DHS,Region : South,,,,,,,,,,,,,50.1,
Namibia,2000 DHS,Decision : Own health care,,,,,,,,,,,,,,
Namibia,2000 DHS,Decision : Major household purchases,,,,,,,,,,,,,,
Namibia,2000 DHS,Decision : Visits to her family or relatives,,,,,,,,,,,,,,
Nepal,2016 DHS,Total,19,24,,92.2,,88.7,,,,57.7,53,55.6,51.8,7.5
Nepal,2016 DHS,Region : Central,19.9,19.5,,92.1,,87.4,,,,58,53.3,58,55.1,8
Nepal,2016 DHS,Region : Eastern,16.3,16.1,,89.5,,86.1,,,,66.2,57.2,65.4,46.3,6.5
Nepal,2016 DHS,Region : Western,20,30.4,,92.1,,88.7,,,,56.9,52.5,52.2,57.4,8.2
Nepal,2016 DHS,Region : Midwestern,18.7,35.4,,94,,91.4,,,,48.6,47.4,42.2,46.1,5.7
Nepal,2016 DHS,Region : Farwestern,20.9,27.6,,96.8,,96.5,,,,50.5,50.1,48.3,43.7,8.4
Nepal,2016 DHS,Region : Province 1,18.3,18,,88.8,,86.2,,,,67.8,59.6,68.1,46.9,6.8
Nepal,2016 DHS,Region : Province 2,16.7,9.7,,93,,87.7,,,,52.8,44.9,49.4,45.4,6.4
Nepal,2016 DHS,Region : Province 3,20.2,30.5,,91.1,,86.6,,,,64.9,61.9,67.6,58.6,8.5
Nepal,2016 DHS,Region : Province 4,19.3,34.1,,90.8,,87.7,,,,65.8,60.4,58.2,61,11.2
Nepal,2016 DHS,Region : Province 5,20.3,30.1,,93.7,,90,,,,51.3,47.2,48.1,52,5.4
Nepal,2016 DHS,Region : Province 6,17,35.5,,93.8,,92.5,,,,40.8,44.3,32.9,45.1,6.5
Nepal,2016 DHS,Region : Province 7,20.9,27.6,,96.8,,96.5,,,,50.5,50.1,48.3,43.7,8.4
Nepal,2016 DHS,Region : Mountain,18.9,31.6,,95.1,,92.8,,,,55.1,51.4,53.7,42.1,4.4
Nepal,2016 DHS,Region : Hill,21.8,35.2,,92.2,,88.1,,,,59.9,56.9,57.8,58.1,8.3
Nepal,2016 DHS,Region : Terai,16.7,14.6,,91.9,,88.7,,,,56.3,50,54.1,46.9,7
Nepal,2016 DHS,Decision : Own health care,,,,,,,23.3,,,,,,,
Nepal,2016 DHS,Decision : Major household purchases,,,,,,,,35.2,,,,,,
Nepal,2016 DHS,Decision : Visits to her family or relatives,,,,,,,,,26.8,,,,,
Nepal,2011 DHS,Total,18,,,92.5,,89.6,,,,65.4,57.2,61,52.6,7.5
Nepal,2011 DHS,Region : Central,19.3,,,92.9,,89.3,,,,64.4,61.4,62.8,55.2,9.3
Nepal,2011 DHS,Region : Eastern,18.3,,,89.7,,86,,,,70.4,61.1,64.6,52.4,5.2
Nepal,2011 DHS,Region : Western,18.3,,,92.3,,89.8,,,,69.3,54.1,59.5,56.4,7.7
Nepal,2011 DHS,Region : Midwestern,15.6,,,94.7,,92.5,,,,59.2,54.8,62.2,40,7.1
Nepal,2011 DHS,Region : Farwestern,15,,,96.2,,95.5,,,,55.7,42.4,47.3,41.8,8.8
Nepal,2011 DHS,Decision : Own health care,,,,,,,25.7,,,,,,,
Nepal,2011 DHS,Decision : Major household purchases,,,,,,,,33.5,,,,,,
Nepal,2011 DHS,Decision : Visits to her family or relatives,,,,,,,,,27.7,,,,,
Nepal,2006 DHS,Total,15.8,,,,,,,,,47.1,52.8,56.6,30.7,4.9
Nepal,2006 DHS,Region : Central,18.6,,,,,,,,,46.7,54.5,56.9,34.2,7.2
Nepal,2006 DHS,Region : Eastern,13.7,,,,,,,,,46.3,53.8,57.6,29.9,3.5
Nepal,2006 DHS,Region : Western,18.5,,,,,,,,,52.5,51,56.9,43.4,3.2
Nepal,2006 DHS,Region : Midwestern,7.5,,,,,,,,,45.8,50,60.6,24.8,3
Nepal,2006 DHS,Region : Farwestern,15.9,,,,,,,,,43.1,51.8,50.5,11.2,3.5
Nepal,2006 DHS,Decision : Own health care,,,,,,,20.3,,,,,,,
Nepal,2006 DHS,Decision : Major household purchases,,,,,,,,15.4,,,,,,
Nepal,2006 DHS,Decision : Visits to her family or relatives,,,,,,,,,21.1,,,,,
Nepal,2001 DHS,Total,18.6,,,,,,,,,25.6,30.3,36.2,38.8,
Nepal,2001 DHS,Region : Central,20.8,,,,,,,,,27.5,29.6,38.8,49.7,
Nepal,2001 DHS,Region : Eastern,18.9,,,,,,,,,23.7,34.9,35.1,38.8,
Nepal,2001 DHS,Region : Western,19.8,,,,,,,,,28.9,33.4,35.9,35.7,
Nepal,2001 DHS,Region : Midwestern,11.4,,,,,,,,,25.4,26.4,39.8,18.8,
Nepal,2001 DHS,Region : Farwestern,16.6,,,,,,,,,17.4,20.8,26.2,32.2,
Nepal,2001 DHS,Decision : Own health care,,,,,,,13.4,,,,,,,
Nepal,2001 DHS,Decision : Major household purchases,,,,,,,,13,,,,,,
Nepal,2001 DHS,Decision : Visits to her family or relatives,,,,,,,,,15,,,,,
Nicaragua,2001 DHS,Total,35.8,,,,,,,,,87.9,65.8,80,84.5,
Nicaragua,2001 DHS,Region : Nueva Segovia,25.3,,,,,,,,,90,62.7,78,88.5,
Nicaragua,2001 DHS,Region : Jinotega,33.3,,,,,,,,,75.1,44.7,63.8,82.5,
Nicaragua,2001 DHS,Region : Madriz,20.9,,,,,,,,,89.1,62.2,81,89,
Nicaragua,2001 DHS,Region : Estelí,28.5,,,,,,,,,86.4,56.4,75.3,90.2,
Nicaragua,2001 DHS,Region : Chinandega,42.7,,,,,,,,,89.1,69.6,80.3,84.9,
Nicaragua,2001 DHS,Region : León,30.7,,,,,,,,,92.4,68.6,82.2,79.7,
Nicaragua,2001 DHS,Region : Matagalpa,30,,,,,,,,,82.1,60.5,76.1,83,
Nicaragua,2001 DHS,Region : Boaco,31.4,,,,,,,,,88,61.4,80.3,82.1,
Nicaragua,2001 DHS,Region : Managua,45.8,,,,,,,,,91.7,73.6,86,87.4,
Nicaragua,2001 DHS,Region : Masaya,31.6,,,,,,,,,89.4,68.1,81,81.8,
Nicaragua,2001 DHS,Region : Chontales,38.5,,,,,,,,,89.3,68,83.6,89.9,
Nicaragua,2001 DHS,Region : Granada,29.8,,,,,,,,,89.4,73.9,83,78.9,
Nicaragua,2001 DHS,Region : Carazo,34.8,,,,,,,,,95.4,75.1,83.2,82.6,
Nicaragua,2001 DHS,Region : Rivas,33.3,,,,,,,,,87.7,70.7,83.3,79.6,
Nicaragua,2001 DHS,Region : Río San Juan,25.3,,,,,,,,,88.3,66.7,79.8,72.2,
Nicaragua,2001 DHS,Region : Atlántico Norte (Raan),28.1,,,,,,,,,79.9,57.9,71.7,75.5,
Nicaragua,2001 DHS,Region : Atlántico Sur (Raas),30.5,,,,,,,,,84.8,59.8,77.6,75.6,
Nicaragua,2001 DHS,Decision : Own health care,,,,,,,46.7,,,,,,,
Nicaragua,2001 DHS,Decision : Major household purchases,,,,,,,,13,,,,,,
Nicaragua,2001 DHS,Decision : Visits to her family or relatives,,,,,,,,,23.7,,,,,
Nigeria,2018 DHS,Total,23.2,37.8,,89.3,,88.5,,,,44.2,40.4,59.5,72.3,5.2
Nigeria,2018 DHS,Region : North East,31,30.6,,93.9,,90.8,,,,28.8,30,45.6,80.4,2.8
Nigeria,2018 DHS,Region : North West,21.6,48.1,,95.9,,93.6,,,,19.9,15.8,44.2,88.2,5.4
Nigeria,2018 DHS,Region : South East,21.3,31.1,,73.3,,68.9,,,,80,74.4,82,39.6,6
Nigeria,2018 DHS,Region : South West,25.3,24.9,,91.8,,94.5,,,,75.3,63.2,82,72.8,4.6
Nigeria,2018 DHS,Region : South South,21.1,35.7,,84.5,,85,,,,74.2,70.5,75.4,57.1,7.5
Nigeria,2018 DHS,Region : ..FCT Abuja,31.3,31.4,,82.3,,90.1,,,,63,65.1,75.9,61.5,6.5
Nigeria,2018 DHS,Region : ..Benue,13.9,39.7,,79.6,,90.3,,,,38.7,43.5,76.7,47,1.8
Nigeria,2018 DHS,Region : ..Kogi,30.5,54.8,,63.9,,65.5,,,,75.8,67.4,76.8,67.8,8.4
Nigeria,2018 DHS,Region : ..Kwara,12.6,24.7,,88.5,,90.3,,,,54.3,51.8,74.1,82.8,4
Nigeria,2018 DHS,Region : ..Nasarawa,15.1,21,,93.9,,95.5,,,,9.4,8.1,9.4,49.1,3.5
Nigeria,2018 DHS,Region : ..Niger,19.6,34.5,,98.4,,93.6,,,,29.3,39.3,48.4,82.7,7.1
Nigeria,2018 DHS,Region : ..Plateau,18.1,54.8,,78.2,,79.9,,,,34.2,31.8,69,78.7,7.3
Nigeria,2018 DHS,Region : ..Adamawa,26.9,26.1,,82.4,,83.5,,,,39.6,41.8,52.2,78.5,1.9
Nigeria,2018 DHS,Region : ..Bauchi,29.7,35.8,,94.9,,92.4,,,,19.3,19.7,38.1,71.8,2.1
Nigeria,2018 DHS,Region : ..Borno,25.5,21.9,,96.8,,97.8,,,,36.2,30.4,51.4,83,3.2
Nigeria,2018 DHS,Region : ..Gombe,51.5,40.5,,96.7,,95.9,,,,29.6,22.7,44.2,86.9,3.3
Nigeria,2018 DHS,Region : ..Taraba,21.2,15.6,,95.5,,95.2,,,,51.9,61.9,76.4,67.5,3.6
Nigeria,2018 DHS,Region : ..Yobe,,37.9,,94.7,,80.9,,,,12,19.5,27.1,93.1,3.1
Nigeria,2018 DHS,Region : ..Jigawa,27.6,61.2,,98.5,,92.8,,,,18.2,10.8,42.9,98.3,3
Nigeria,2018 DHS,Region : ..Kaduna,17.2,59.4,,94.8,,92.7,,,,37,41.6,61.5,93.4,4.8
Nigeria,2018 DHS,Region : ..Kano,35.1,64.5,,96.9,,94.1,,,,33,7,41.2,97.7,2.7
Nigeria,2018 DHS,Region : ..Katsina,18.8,48.1,,98,,94.1,,,,10.2,14.1,59.7,92.6,3.7
Nigeria,2018 DHS,Region : ..Kebbi,14.2,21.5,,95.6,,94.8,,,,4.4,12.9,54.3,30.7,0.5
Nigeria,2018 DHS,Region : ..Sokoto,,29.7,,85.8,,88.7,,,,1.6,2.3,9.9,84.4,31.6
Nigeria,2018 DHS,Region : ..Zamfara,14.6,22.6,,96.4,,96.5,,,,8.2,5.8,10.8,63.6,3.8
Nigeria,2018 DHS,Region : ..Abia,8.1,18.1,,89,,91.5,,,,89.3,84,91.3,38.4,3.4
Nigeria,2018 DHS,Region : ..Anambra,12.5,17.7,,66.6,,55.8,,,,97.6,96.9,97.9,35.6,3.6
Nigeria,2018 DHS,Region : ..Ebonyi,30.9,47.4,,55.2,,55.3,,,,71.9,76.6,74.9,23.7,6.1
Nigeria,2018 DHS,Region : ..Enugu,17.3,16.3,,73.8,,68,,,,62.8,55.5,64.9,62.6,8.6
Nigeria,2018 DHS,Region : ..Imo,46.6,48.2,,92.3,,90,,,,68,44.5,71.4,55.1,10.2
Nigeria,2018 DHS,Region : ..Ekiti,37.9,49.9,,87.6,,77.6,,,,85.2,72.4,88.1,63.7,6.7
Nigeria,2018 DHS,Region : ..Lagos,32.3,30.5,,95.7,,98.1,,,,82.7,61.2,81.5,84,3.7
Nigeria,2018 DHS,Region : ..Ogun,10.5,5.2,,81.1,,94.1,,,,68.3,71.9,88.9,49.9,1.8
Nigeria,2018 DHS,Region : ..Ondo,20.3,35.8,,90.6,,86.8,,,,55.7,56.2,76.1,69.5,5.4
Nigeria,2018 DHS,Region : ..Osun,23.1,16.2,,92.5,,93.8,,,,40.2,28.2,51.5,87.4,7.5
Nigeria,2018 DHS,Region : ..Oyo,10.1,24.1,,92.5,,97.3,,,,94.1,82.3,97.5,68.7,4.5
